Symbol
BTC
ETH
USDT
BNB
USDC
XRP
ADA
DOGE
LTC
SOL
TRX
MATIC
DOT
BCH
TON
WBTC
DAI
AVAX
SHIB
BUSD
LEO
LINK
ATOM
UNI
XMR
TUSD
XLM
ETC
OKB
FIL
ICP
LDO
APT
HBAR
ARB
VET
CRO
QNT
NEAR
GRT
AAVE
STX
MKR
USDP
ALGO
EGLD
BIT
FTM
BSV
OP
SAND
EOS
APE
IMX
XTZ
RNDR
MANA
THETA
RPL
AXS
USDD
INJ
FLOW
CRV
PEPE
NEO
XEC
KCS
CFX
KAVA
SNX
GUSD
CHZ
KLAY
GALA
ZEC
MIOTA
GMX
LUNC
COMP
PAXG
FXS
MINA
XAUT
SUI
BTT
XDC
HT
CSPR
WOO
GT
DASH
TWT
RUNE
NEXO
ZIL
GCR
CAKE
AGIX
NFT
CVX
1INCH
KAS
QTUM
ILV
OSMO
LRC
BAT
USDJ
CELO
TOMI
LUSD
OKT
MASK
FLR
FLOKI
XCH
ENS
BTG
BLUR
GAS
GAL
AR
POLY
DCR
HOT
FET
BAL
YFI
SFP
T
BRISE
ELF
ENJ
KSM
ETHW
APX
WAVES
APEX
XEM
BDX
IOST
ACH
ASTR
TFUEL
BONE
AMP
UMA
SSV
PENDLE
ZRX
SC
ONE
GLMR
NXM
OMI
BETA
NAKA
SD
BORA
ANT
AUDIO
UOS
CTSI
ALPHA
ORDI
ELON
COCOS
BICO
DAO
SKL
SNM
KDA
POWR
STORJ
DGB
FLUX
DKA
GLM
LINA
EURS
CORE
CELR
API3
NMR
SYN
EDU
DAG
LYXE
HNT
GNO
BFC
ICX
GTC
SYS
ATA
LSK
WAXP
CVC
ROUTE
